date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:05	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2002:02:05%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/robots.txt		(from )
11:02:08	99739/99739	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2002:02:05%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/	C:/wunna/innovation/1/rubylearningsite/index-2.html	(from )
11:02:08	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2002:02:08%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/xmlrpc.php	C:/wunna/innovation/1/rubylearningsite/xmlrpc.php	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:08	41045/41045	---M--	200	added ('OK')	text/css	etag:%22a055-5a7cb8fa56098%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-includes/css/dist/block-library/style.min.css	C:/wunna/innovation/1/rubylearningsite/wp-includes/css/dist/block-library/style.min.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:10	1939/1939	---M--	200	added ('OK')	text/css	etag:%22793-5a12e3bc536fd%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-includes/css/dist/block-library/theme.min.css	C:/wunna/innovation/1/rubylearningsite/wp-includes/css/dist/block-library/theme.min.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:10	763/763	---M--	200	added ('OK')	application/rss+xml	etag:%2281c6ab2b827ac10de8c8243ca3e30cfa%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/comments/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/comments/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:10	11141/11141	---MC-	200	added ('OK')	application/rss+xml	etag:%2275ac7c16e892d08401545ff922fbc039%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:10	7020/7020	---M--	200	added ('OK')	text/css	etag:%221b6c-5a9bfded3c51e%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-content/plugins/wp-codemirror-block/vendor/codemirror/lib/codemirror.min.css	C:/wunna/innovation/1/rubylearningsite/wp-content/plugins/wp-codemirror-block/vendor/codemirror/lib/codemirror.min.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:10	9959/9959	---M--	200	added ('OK')	text/css	etag:%2226e7-5a9bfded4903d%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-content/plugins/wp-codemirror-block/assets/blocks/blocks.style.build.min.css	C:/wunna/innovation/1/rubylearningsite/wp-content/plugins/wp-codemirror-block/assets/blocks/blocks.style.build.min.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:10	27519/27519	---M--	200	added ('OK')	text/css	etag:%226b7f-5a12ff6fb0782%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-content/themes/twentyfifteen/genericons/genericons.css	C:/wunna/innovation/1/rubylearningsite/wp-content/themes/twentyfifteen/genericons/genericons.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:12	98458/98458	---M--	200	added ('OK')	text/css	etag:%221809a-5a12ff6faf7e2%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-content/themes/twentyfifteen/style.css	C:/wunna/innovation/1/rubylearningsite/wp-content/themes/twentyfifteen/style.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
11:02:14	12047/12047	---M--	200	added ('OK')	text/css	etag:%222f0f-5a12ff6faf7e2%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/wp-content/themes/twentyfifteen/css/blocks.css	C:/wunna/innovation/1/rubylearningsite/wp-content/themes/twentyfifteen/css/blocks.css	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/)
